Sector,Scheme Name,Details,Benefits,Eligibility,Application Process,Documents Required,Sources & References
"Banking,Financial Services and Insurance",Indira Gandhi National Widow Pension Scheme,"Indira Gandhi National Widow Pension Scheme (IGNWPS) is implemented by Ministry of Rural Development, Government of India. It is a non-contributory pension scheme to provide social security to widows of poor family (BPL)  of the society.",A pension of Rs.300/- per month is provided to Widows between 40 years and 79 years. For persons who are 80 years and above the pension is Rs.500/- per month. ,-The applicant must be a widow in the age group of 40-79 years.                                                                                            -The applicant should belong to a household living below the poverty line according to the criteria prescribed by the Govt. of India,"- Download UMANG App or visit https://web.umang.gov.in/web_new/home                                           - Search for NSAP after logging in.                                                      - Click on ""Apply Online.""                                                                      - Fill in basic details, select pension payment mode.                             - Upload a photo and click ""Submit.""","Death Certificate of husband – With the name of the surviving wife(widow).                                    BPL Card.                                      Age Proof - For age, the birth certificate or school certificate may be relied on. In their absence ration card and EPIC may be considered. ",https://nsap.nic.in/Guidelines/wps.pdf
"Banking,Financial Services and Insurance",Jai Johar (Old Age Pension) Scheme," The scheme is aimed at the Scheduled Tribe (ST) residents of West Bengal of the age of 60 years and above who do not receive any other pension from any other authority. Over 3,00,000 beneficiaries have been brought under the fold of the scheme. The amount of monthly pension of ₹ 1,000/- is transferred directly to the individual bank account of the beneficiary.","A monthly pension of ₹1,000/- is transferred directly to the individual bank account of the beneficiary.",-The applicant should be a permanent resident of West Bengal.                                                     -The applicant should belong to the Scheduled Tribe (ST) category.                                               -The applicant should have attained the age of 60 years or more.                                                   -The applicant should not be a beneficiary under any other Social Security pension scheme.        -The applicant should not be a recipient of Government pension or pension from any other organization.,"- Request the application form from the Block Development Officer (BDO) / Sub Divisional Officer (SDO) / Kolkata Municipal Corporation.
- Complete the form, affix signed passport-sized photo, and attach self-attested mandatory documents.
- Submit the filled form and documents to the relevant authority:
   - BDO 
   - SDO 
   - Commissioner Kolkata Municipal Corporation","- Passport Size Photograph
- Formal Caste or Tribe Certificate 
- Digital Ration Card
- EPIC (Elector's Photo Identity Card)/Voter Card
- Self-Attested Residential Certificate/Address Proof
- Copy of Bank Passbook
- Aadhaar Card","Taposili Bandhu & Jai Johar under Jai Bangla Prakalpa | Nadia District, Government of West Bengal | India"
"Banking,Financial Services and Insurance",Bank Tie-Up Scheme,"the Punjab Scheduled Castes Land Development & Finance Corporation (PSCLDFC) arranges loans through banks, and subsidy is provided by PSCLDFC. The permanent residents of Punjab belonging to Scheduled Castes and living Below Poverty Line are eligible under this scheme. This is a 100% State Sponsored Scheme, and only the permanent residents of the state of Punjab can apply for this scheme.","- Subsidy: Capital subsidy up to 50%, maximum ₹10,000.
- Source: Provided by Govt. of India from SCA funds.
- Loan: Offered by various banks in the State.
- Interest Rate: Charged by banks as per RBI guidelines.","-  Print Application Form (Form-I, Form-II) from PSCLDFC website or District Offices.
- Complete form, affix signed passport-sized photo, and attach self-attested mandatory documents.
- Submit filled form and documents to the District Office.
- Obtain receipt/acknowledgment of successful submission from the District Office.","- Duly attested application form.
- Residential or Domicile Certificate of Punjab.
- Caste Certificate.
- Valuation Certificate of the property.
- Map of the property.
- Farad Zama Bandi.
- Copy of the registry 
- Affidavit regarding the loan.
- 3 Passport-sized Photographs 
- Employer Certificate, Salary Certificate, and Surety Bond 
- Aadhaar Card.
- Bank Account Details 
- Income Certificate.",Bank Tie-up Scheme | Punjab Scheduled Castes Land Development & finance Corporation,https://pbscfc.punjab.gov.in/?q=node/25
Education and learning,Sudama Chhatravrti Yojana,"Madhya Pradesh State Government Started Pre-Matric Scholarships for state students. Under this scheme, financial assistance is provided to 300 boys students and 400 girls students of Madhya Pradesh State. ","The scholarship amount for male students: Rs. 5000/- annually.
The Scholarship amount for female students: Rs. 5250/- annually.
",The parent's annual Income should not be more than Rs. 1 Lakhs.Family Should belong to BPL category.Students should secure above 60% marks in 10th class and currently studying in 11th & 12th class and living in the hostel.Students should belong to the General Category.,Applicant students have to contact their educational institution.The profile of the students is entered on the education portal www.shikshaportal.mp.gov.in by the teacher of the educational institution as per the record/certificate provided by the student.Fill out the application form and attach the required documents.Submit.,"Residence proof Certificate from residence authority (electricity bill, water connection bill, etc.).Aadhar card.Bank Account Details.Income certificate of parents.class 9th and 10th mark sheet.Minimum 2 passport-size photographs.","https://cmhelpline.mp.gov.in/Schmedetail.aspx?Schemeid=422  ,  "
Education and learning,Scholarships to Students with Disabilities Scheme,"The scheme “Scholarships to Students with Disabilities Scheme” was started by the Department of Social Security and Women & Child Development, Government of Punjab in the year 1996. The objective of the scheme is to assist students with disabilities to secure education, academic, technical, or professional training to enable them to earn a living and become useful members of society. This scheme is fully state-sponsored.","1.        Under this scheme, scholarship @ ₹200/- per month per Student with Disability for education for class 1st to 8th.
2.        Scholarship @₹300/- per month per the student with Disability for education/training from 9th Class onwards.
Note: The Directorate shall credit the scholarship online in the bank account of the student.
","All students of Punjab having 40 % and above disability (In any disability contained in the schedule of RPwD Act 2016) certificate.The monthly income of family/guardians should not exceed ₹5,000/- per month.The candidate should have secured at least 40% marks in the previous annual examination.The scholarship will be provided to each student with disability from 1st class onwards.",Application for the scholarship is submitted to the Head of school/college/ institution who after verifying it shall forward it to the District Social Security Officer (DSSO) of the concerned district.,"1.        Disability Certificate/ UDID showing 40% and above disability
2.        Income certificate showing less than ₹ 60,000/- per year income of parents
3.        Copy of the bank account details
",https://sswcd.punjab.gov.in/en/scholarships-to-students-with-disabilities-divyang
Education and learning,Stipend to Scheduled Caste Trainees in Technical Training Institutions,"The scheme “Stipend to Scheduled Caste Trainees in Technical Training Institutions” was implemented by the Adi Dravidar Welfare and Scheduled Tribes Welfare Department, Union Territory of Puducherry. The objective of the scheme is to provide financial support to Scheduled Tribe candidates/trainees who are undergoing training in the Government Technical Training Institutions of the Union Territory of Puducherry.","1.Under this scheme, a stipend is paid at the rate of ₹170/- per month per trainee for the whole period of training.",1.The candidates/trainees who are undergoing training in the Government Technical Training Institutions of the Union Territory of Puducherry are eligible to apply under the scheme.2.The candidate should belong to the Scheduled Caste community.3.There is no income limit to apply under the scheme.,"To apply for the scholarship, first-time applicants must register on the National Scholarship Portal (NSP) at https://scholarships.gov.in/ using the ""New Registration"" icon. Upon successful registration, they receive a unique ""Student Registration ID."" Using this ID, students can log in through the ""Fresh Application"" icon, accessing the welcome page. Clicking on the ""Application Form"" icon allows them to fill out the application, and upon clicking ""Final Submit,"" the application is successfully submitted. A system-generated registration number is then provided for future reference..
","1.Identity proof i.e. Aadhaar Card
2.Passport size photograph
3.Educational documents/certificates i.e. Mark sheets
4.Caste certificate
5.Nativity Certificate issued by the Competent Revenue Officials
6.Bank Account details
7.Any other document, as required
",https://adwelfare.py.gov.in/stipend-sc-trainees-technical-training-institutions
Education and learning,Incentive To Saharia Students For B.Ed,"The basic objective of the scheme is to provide financial assistance to the students of the Saharia region for B.Ed training so that the tribal students of the Saharia region can keep their participation in the government service. 
In this scheme, hostel fees, scholarships (stipends), tuition fees, and stationery are given to these students. Provision has been made to give financial assistance in the form of The benefit of the scheme will be payable only for 10 months.
","Saharia tribe students who are taking regular B.Ed training are given Rs.30,000 in the first year and Rs.30,000 in the second year. 
Details are given below :
Rs. 26,000/- for college fees and purchase of books.Rs. 32,000/- for house rent and food.Rs. 2,000/- for clothes.
","The student should be a native of Rajasthan.The student should belong to Saharia class, a tribe of the Baran district of Rajasthan.The student should be a regular trainee in the government / non-government BEd training institute.The student's mother/father/guardian/guardian should not be a taxpayer.The student who is studying while living in the hostel is run by the government. They will not be entitled to benefit under the said scheme.Students should have a Vaidya Bhamashah card and Aadhaar. ",Applicant students have to visit the official website.Now Select the Login option or Register Option. Applicants will be redirected to the  Rajasthan SSO portal. Now students can log in with their Jan-Aadhaar ID. Fill out the application form.Attach the required documents.Submit.,Caste Certificate Copy.Aadhar Card Copy.Education Qualification Marksheet / Certificate Copy.Income Certificate Copy.Jan Aadhar/Bhamashah Card Copy.,https://schemes.rajasthan.gov.in/scheme/detail/400
Education and learning,National Merit Cum Means Scholarship,"The objective of the scheme is to award scholarships to meritorious students of economically weaker
sections to class VIII and encourage them to continue their studies at the secondary stage. Scholarship of Rs. 12000/- per annum (Rs.1000/- per month) per student is awarded by the Ministry of Human Resource Development to selected students every year for study in classes from IX to XII Students studying in recognized Govt / Govt Aided/Local Body/Corporate School.
",Scholarship of Rs. 12000/- per annum (Rs.1000/- per month) per student is awarded by the Ministry of Human Resource Development to selected students every year for study in classes from IX to XII Students studying in recognized Govt / Govt Aided/Local Body/Corporate School,"The students shall have a minimum of 55 % marks or an equivalent grade in the Class VII examination for appearing in the selection test for the award of scholarship (relaxable by 5% for SC/ST students). The students should be studying as regular students in Government, Government-aided, and local body schools.Scholastic Aptitude Test may consist of 90 multiple-choice questions covering subjects namely, science, social studies, and mathematics as taught in classes VII and VIII","Step 01: Normally application is open from July- September online in National Scholarship Portal in https://scholarships.gov.in/
Step 02: Printout of online application along with documents mentioned above must
be submitted to the School for verification online.
",Aadhaar Card.Bank Account (self-account). Income certificate issued by competent authority (up to date).Previous year examination mark sheet. Permanent Residential Certificate (up to date),https://msb.mizoram.gov.in/
Health and Wellness,"
Nirmaan Shramik Mrtyu Evan Divyaang Sahaayata Yojana","In 2020, Chhattisgarh State Government started the ""Nirmaan Shramik Mrtyu Evan Divyaang Sahaayata Yojana"" fBuilding and other construction workers. With this scheme, family will able to get the financials benefits after the death or disability of the construction worker. ","Financial Help On Normal Death₹ 1,00,000/- Death on work location₹ 5,00,000/- Permanent disability on work location₹ 2,50,000/-

","This scheme is designed for construction workers aged 18 to 60, who are registered beneficiaries under Section 12 of the Building and Other Construction Workers (Regulation of Employment and Service Conditions) Act, 1996. Eligibility excludes deaths resulting from suicide, drug consumption, criminal activities, physical violence with criminal intent, or riot-related incidents. The assistance is granted solely upon the registered worker's death and not for family members. Those already benefiting from the Financial Assistance and Rehabilitation Assistance Scheme for construction workers with silicosis are ineligible, as a separate scheme caters to their needs.





","To apply for the scheme in Chhattisgarh, visit the official labor website and click on ""Apply Now"" under Building and Other Construction. Provide district and new registration number details, then select the scheme. Fill out the online form, uploading necessary documents such as labor registration card, daughter's Aadhaar card, daughter's bank passbook photocopy, age certificate, and Class 10th marksheet. Click ""Submit"" and note the application number for reference.","Registration certificate,Aadhar card, Bank passbook, Nominee's Aadhar card,Address proof, Mobile number, Death certificate and In case of permanent disability, permanent disability certificate issues by the doctor. ",https://cglabour.nic.in/BOCW/BOCADHISUCHNA/191714_10_05_2019.pdf
Health and Wellness,Delhi Arogya Nidhi,"The ""Delhi Arogya Nidhi (DAN)"" is a scheme implemented by the Directorate General of Health Services to provide financial assistance of up to ₹1.5 lacs to needy patients who have National Food Security Cards for treatment of diseases in Government hospitals only.","Under the scheme, financial assistance of up to ₹1.5 lacs will be provided to needy patients who have National Food Security Cards for treatment of diseases in Government hospitals only.",Patients should have a National Food Security Card.The patient must be a resident of Delhi and has to furnish domicile proof of residing in Delhi continuously for the last 3 years (prior to the date of submission of the application).Treatment should be from the Government Hospital in Delhi.,"Step 01: Visit the official website to download the Application Form for Financial Aid.
Step 02: Fill out the form with all requisites details.
Step 03: The photocopies of all documents are to be attached with the application and the original is to be brought at the time of submission of same for verification.
Step 04: Applicant has to submit an undertaking for his signature verification as given in the application form.
Step 05: Application to be submitted in Patient Welfare Cell, Directorate of Health Services, 6th Floor, F-17, Karkardooma, (Near Karkardooma Court), Delhi-110032.
","To avail medical assistance in Delhi, applicants must provide proof of continuous residence for the last three years using documents such as the National Food Security Card, Electoral Voter's Photo Identity Card, Birth Certificate (if the patient is a minor), Extract from the electoral roll, or Aadhaar Card. Additionally, an Original Estimate Certificate signed by a medical authority, two attested photographs of the patient, a copy of the National Food Security Card, and photocopies of the treatment record are required. The application form should include an undertaking for signature verification by the applicant.",https://dgehs.delhi.gov.in/sites/default/files/inline-files/delhi_arogya_nidhi.pdf
Health and Wellness,Girl Students Health & Hygiene Scheme,"The scheme “Girl Students Health & Hygiene Scheme” was announced by the Department of School Education, Govt. of Arunachal Pradesh in 2013. This scheme is basically providing incentives towards the beneficiaries of girl child students studying in classes VI to XII only which institutes/schools are fully run by the State Govt. and Govt. Aided Schools in Arunachal Pradesh. The main aim and objective of this scheme are to be retained and continue in the schools during the occurrence of their menstrual period. Further, this scheme increases awareness among adolescent girls on Menstrual Hygiene.",₹50/- per student per month in all Govt. schools through DBT (all year amount is credited to the account of the beneficiary),1. All girl students from class VI to XII studying in government and government-aided schools in Arunachal Pradesh,"1.Girls Students will not need to fill any application form to take benefits of the scheme.
2.Sanitary napkins will be given to the girl students by their schools.
3.Girl students may also contact the Director of Elementary and Secondary Education in their concerned district.
","1.School Identity Card (Admission in School- All Govt. Schools and Govt-aided Schools)
2.Aadhaar Card
3. Bank details of the applicant/concerned girl student
",https://cdn.s3waas.gov.in/s3c0c7c76d30bd3dcaefc96f40275bdc0a/uploads/2023/01/2023012771.pdf
Health and Wellness,Assistance For Delivery / Miscarriage Of Pregnancy / Termination Of Pregnancy To Female Differently Abled Person,"The Government of Tamil Nadu introduced ""Assistance for Delivery/ Miscarriage of Pregnancy/ Termination of Pregnancy to Female Differently Abled Person with a sum of Rs.6,000/- @ Rs.1,000/- per month for delivery and Rs.3,000 for miscarriage/termination of pregnancy is given to female differently abled person. ","A sum of Rs.6,000/- @ Rs.1,000/- per month for delivery and Rs.3,000 for miscarriage/termination of pregnancy is given to a female differently abled person.",Differently abled person holding identity card issued by the welfare board for the differently abled.,"Step 1: Visit the official website of the Chennai district.
Step 2: Click on the Departments. Select Differently Abled Welfare, after selecting click on Differently Abled Welfare Schemes. 
Step 3: You will land on the List of Scheme page of Differently Abled Welfare Schemes.
Step 4: Scroll down to the section ""L. Tamilnadu differently abled welfare board schemes"". 
Step 5: Download the application form of the ""S.No. 6 Assistance for delivery/miscarriage of pregnancy/termination of pregnancy to female differently abled person"".
.
","Copy of National Spouse Identity Card and Board Registration DetailsCopy of Family Card Copy of Aadhaar CardFor jump i) Child birth certificate copy ii) Hospital certificate copyCertificate from the hospital where the operation was performed for abortion

",https://www.scd.tn.gov.in/pdf/schemes/pdf/ASSISTANCE%20FOR%20DELIVERY%20%20MISCARRIAGE%20OF%20PREGNANCY.pdf
Health and Wellness,Kanti Velugu,The State Government has embarked on a Noble Project of achieving “avoidable blindness-free Telangana” status by conducting a Comprehensive and Universal Eye Screening for the entire population of the State under the title ‘Kanti Velugu’,"Telangana has launched a Universal Eye Screening program, providing free services to all citizens. This includes distributing spectacles for Refraction Errors, organizing surgeries for conditions like Cataract and Glaucoma, and offering free medicines for common eye ailments. All services are provided at no cost, emphasizing accessibility to comprehensive eye care. The initiative also focuses on educating citizens about preventing serious disabling eye diseases, ensuring a holistic approach to eye health.
",All the citizens of Telangana are eligible for Universal Eye Screening,Visit Nearest Primary health care centers.,"Valid Identity proof like
 Adhaar card Ration card.Voter ID card.
Address proof.
Medical reports.Domicile certificate.
",https://drysrkv.ap.gov.in/
Social welfare & Empowerment,Jai Johar (Old Age Pension) Scheme,"""Launched on April 1, 2020, 'Jai Johar (Old Age Pension)' by the Tribal Development Department in West Bengal is a Social Security Scheme for Scheduled Tribe residents aged 60 and above. The initiative has successfully enrolled over 3,00,000 beneficiaries, providing a monthly pension of ₹1,000 directly to their bank accounts, filling a crucial gap for those not covered by other pension programs.""","A monthly pension of ₹1,000/- is transferred directly to the individual bank account of the beneficiary.",1.The applicant should be a permanent resident of West Bengal. 2.The applicant should belong to the Scheduled Tribe (ST) category.3.The applicant should have attained the age of 60 years or more.4.The applicant should not be a beneficiary under any other Social Security pension scheme.5.The applicant should not be a recipient of Government pension or pension from any other organization.,"""To apply for the 'Jai Johar (Old Age Pension)' Scheme:
1. Get the free application form from BDO/SDO/Kolkata Municipal Corporation.
2. Fill in required details, attach documents, and submit to the relevant authority:
   - BDO for rural areas.
   - SDO for Municipalities and Notified Areas.
   - Commissioner, Kolkata Municipal Corporation for KMC areas."".
","1.Passport Size 2.PhotographFormal Caste or Tribe Certificate (If unavailable, a Caste/Tribe certificate of any paternal relative is acceptable for the initial assessment. However, the applicant must procure their caste certificate later and submit the same subsequently)3.Digital Ration Card.4.EPIC (Elector's Photo Identity Card)/Voter Card 5.Self-Attested Residential Certificate/Address Proof 6.Copy of Bank Passbook 7.Aadhaar Card",https://nadia.gov.in/scheme/taposili-bandhu-jai-johar-under-jai-bangla-prakalpa
